Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5
LinearRegression,<class 'sklearn.linear_model._base.LinearRegression'>,regressor,<class 'sklearn.linear_model._base.LinearRegression'>,sklearn.linear_model._base.LinearRegression,linear_model,_base,LinearRegression,
LinearSVR,<class 'sklearn.svm._classes.LinearSVR'>,regressor,<class 'sklearn.svm._classes.LinearSVR'>,sklearn.svm._classes.LinearSVR,svm,_classes,LinearSVR,
MLPRegressor,<class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>,regressor,<class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>,sklearn.neural_network._multilayer_perceptron.MLPRegressor,neural_network,_multilayer_perceptron,MLPRegressor,
MultiOutputRegressor,<class 'sklearn.multioutput.MultiOutputRegressor'>,regressor,<class 'sklearn.multioutput.MultiOutputRegressor'>,sklearn.multioutput.MultiOutputRegressor,multioutput,MultiOutputRegressor,,
MultiTaskElasticNet,<class 'sklearn.linear_model._coordinate_descent.MultiTaskElasticNet'>,regressor,<class 'sklearn.linear_model._coordinate_descent.MultiTaskElasticNet'>,sklearn.linear_model._coordinate_descent.MultiTaskElasticNet,linear_model,_coordinate_descent,MultiTaskElasticNet,
MultiTaskElasticNetCV,<class 'sklearn.linear_model._coordinate_descent.MultiTaskElasticNetCV'>,regressor,<class 'sklearn.linear_model._coordinate_descent.MultiTaskElasticNetCV'>,sklearn.linear_model._coordinate_descent.MultiTaskElasticNetCV,linear_model,_coordinate_descent,MultiTaskElasticNetCV,
MultiTaskLasso,<class 'sklearn.linear_model._coordinate_descent.MultiTaskLasso'>,regressor,<class 'sklearn.linear_model._coordinate_descent.MultiTaskLasso'>,sklearn.linear_model._coordinate_descent.MultiTaskLasso,linear_model,_coordinate_descent,MultiTaskLasso,
MultiTaskLassoCV,<class 'sklearn.linear_model._coordinate_descent.MultiTaskLassoCV'>,regressor,<class 'sklearn.linear_model._coordinate_descent.MultiTaskLassoCV'>,sklearn.linear_model._coordinate_descent.MultiTaskLassoCV,linear_model,_coordinate_descent,MultiTaskLassoCV,
NuSVR,<class 'sklearn.svm._classes.NuSVR'>,regressor,<class 'sklearn.svm._classes.NuSVR'>,sklearn.svm._classes.NuSVR,svm,_classes,NuSVR,
OrthogonalMatchingPursuit,<class 'sklearn.linear_model._omp.OrthogonalMatchingPursuit'>,regressor,<class 'sklearn.linear_model._omp.OrthogonalMatchingPursuit'>,sklearn.linear_model._omp.OrthogonalMatchingPursuit,linear_model,_omp,OrthogonalMatchingPursuit,
OrthogonalMatchingPursuitCV,<class 'sklearn.linear_model._omp.OrthogonalMatchingPursuitCV'>,regressor,<class 'sklearn.linear_model._omp.OrthogonalMatchingPursuitCV'>,sklearn.linear_model._omp.OrthogonalMatchingPursuitCV,linear_model,_omp,OrthogonalMatchingPursuitCV,
PLSCanonical,<class 'sklearn.cross_decomposition._pls.PLSCanonical'>,regressor,<class 'sklearn.cross_decomposition._pls.PLSCanonical'>,sklearn.cross_decomposition._pls.PLSCanonical,cross_decomposition,_pls,PLSCanonical,
PLSRegression,<class 'sklearn.cross_decomposition._pls.PLSRegression'>,regressor,<class 'sklearn.cross_decomposition._pls.PLSRegression'>,sklearn.cross_decomposition._pls.PLSRegression,cross_decomposition,_pls,PLSRegression,
PassiveAggressiveRegressor,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveRegressor'>,regressor,<class 'sklearn.linear_model._passive_aggressive.PassiveAggressiveRegressor'>,sklearn.linear_model._passive_aggressive.PassiveAggressiveRegressor,linear_model,_passive_aggressive,PassiveAggressiveRegressor,
PoissonRegressor,<class 'sklearn.linear_model._glm.glm.PoissonRegressor'>,regressor,<class 'sklearn.linear_model._glm.glm.PoissonRegressor'>,sklearn.linear_model._glm.glm.PoissonRegressor,linear_model,_glm,glm,PoissonRegressor
QuantileRegressor,<class 'sklearn.linear_model._quantile.QuantileRegressor'>,regressor,<class 'sklearn.linear_model._quantile.QuantileRegressor'>,sklearn.linear_model._quantile.QuantileRegressor,linear_model,_quantile,QuantileRegressor,
RANSACRegressor,<class 'sklearn.linear_model._ransac.RANSACRegressor'>,regressor,<class 'sklearn.linear_model._ransac.RANSACRegressor'>,sklearn.linear_model._ransac.RANSACRegressor,linear_model,_ransac,RANSACRegressor,
RadiusNeighborsRegressor,<class 'sklearn.neighbors._regression.RadiusNeighborsRegressor'>,regressor,<class 'sklearn.neighbors._regression.RadiusNeighborsRegressor'>,sklearn.neighbors._regression.RadiusNeighborsRegressor,neighbors,_regression,RadiusNeighborsRegressor,
RandomForestRegressor,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,regressor,<class 'sklearn.ensemble._forest.RandomForestRegressor'>,sklearn.ensemble._forest.RandomForestRegressor,ensemble,_forest,RandomForestRegressor,
RegressorChain,<class 'sklearn.multioutput.RegressorChain'>,regressor,<class 'sklearn.multioutput.RegressorChain'>,sklearn.multioutput.RegressorChain,multioutput,RegressorChain,,
Ridge,<class 'sklearn.linear_model._ridge.Ridge'>,regressor,<class 'sklearn.linear_model._ridge.Ridge'>,sklearn.linear_model._ridge.Ridge,linear_model,_ridge,Ridge,
RidgeCV,<class 'sklearn.linear_model._ridge.RidgeCV'>,regressor,<class 'sklearn.linear_model._ridge.RidgeCV'>,sklearn.linear_model._ridge.RidgeCV,linear_model,_ridge,RidgeCV,
SGDRegressor,<class 'sklearn.linear_model._stochastic_gradient.SGDRegressor'>,regressor,<class 'sklearn.linear_model._stochastic_gradient.SGDRegressor'>,sklearn.linear_model._stochastic_gradient.SGDRegressor,linear_model,_stochastic_gradient,SGDRegressor,
SVR,<class 'sklearn.svm._classes.SVR'>,regressor,<class 'sklearn.svm._classes.SVR'>,sklearn.svm._classes.SVR,svm,_classes,SVR,
StackingRegressor,<class 'sklearn.ensemble._stacking.StackingRegressor'>,regressor,<class 'sklearn.ensemble._stacking.StackingRegressor'>,sklearn.ensemble._stacking.StackingRegressor,ensemble,_stacking,StackingRegressor,
TheilSenRegressor,<class 'sklearn.linear_model._theil_sen.TheilSenRegressor'>,regressor,<class 'sklearn.linear_model._theil_sen.TheilSenRegressor'>,sklearn.linear_model._theil_sen.TheilSenRegressor,linear_model,_theil_sen,TheilSenRegressor,
TransformedTargetRegressor,<class 'sklearn.compose._target.TransformedTargetRegressor'>,regressor,<class 'sklearn.compose._target.TransformedTargetRegressor'>,sklearn.compose._target.TransformedTargetRegressor,compose,_target,TransformedTargetRegressor,
TweedieRegressor,<class 'sklearn.linear_model._glm.glm.TweedieRegressor'>,regressor,<class 'sklearn.linear_model._glm.glm.TweedieRegressor'>,sklearn.linear_model._glm.glm.TweedieRegressor,linear_model,_glm,glm,TweedieRegressor
VotingRegressor,<class 'sklearn.ensemble._voting.VotingRegressor'>,regressor,<class 'sklearn.ensemble._voting.VotingRegressor'>,sklearn.ensemble._voting.VotingRegressor,ensemble,_voting,VotingRegressor,
AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>,cluster,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>,sklearn.cluster._affinity_propagation.AffinityPropagation,cluster,_affinity_propagation,AffinityPropagation,
AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>,cluster,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>,sklearn.cluster._agglomerative.AgglomerativeClustering,cluster,_agglomerative,AgglomerativeClustering,
Birch,<class 'sklearn.cluster._birch.Birch'>,cluster,<class 'sklearn.cluster._birch.Birch'>,sklearn.cluster._birch.Birch,cluster,_birch,Birch,
BisectingKMeans,<class 'sklearn.cluster._bisect_k_means.BisectingKMeans'>,cluster,<class 'sklearn.cluster._bisect_k_means.BisectingKMeans'>,sklearn.cluster._bisect_k_means.BisectingKMeans,cluster,_bisect_k_means,BisectingKMeans,
DBSCAN,<class 'sklearn.cluster._dbscan.DBSCAN'>,cluster,<class 'sklearn.cluster._dbscan.DBSCAN'>,sklearn.cluster._dbscan.DBSCAN,cluster,_dbscan,DBSCAN,
FeatureAgglomeration,<class 'sklearn.cluster._agglomerative.FeatureAgglomeration'>,cluster,<class 'sklearn.cluster._agglomerative.FeatureAgglomeration'>,sklearn.cluster._agglomerative.FeatureAgglomeration,cluster,_agglomerative,FeatureAgglomeration,
HDBSCAN,<class 'sklearn.cluster._hdbscan.hdbscan.HDBSCAN'>,cluster,<class 'sklearn.cluster._hdbscan.hdbscan.HDBSCAN'>,sklearn.cluster._hdbscan.hdbscan.HDBSCAN,cluster,_hdbscan,hdbscan,HDBSCAN
KMeans,<class 'sklearn.cluster._kmeans.KMeans'>,cluster,<class 'sklearn.cluster._kmeans.KMeans'>,sklearn.cluster._kmeans.KMeans,cluster,_kmeans,KMeans,
MeanShift,<class 'sklearn.cluster._mean_shift.MeanShift'>,cluster,<class 'sklearn.cluster._mean_shift.MeanShift'>,sklearn.cluster._mean_shift.MeanShift,cluster,_mean_shift,MeanShift,
MiniBatchKMeans,<class 'sklearn.cluster._kmeans.MiniBatchKMeans'>,cluster,<class 'sklearn.cluster._kmeans.MiniBatchKMeans'>,sklearn.cluster._kmeans.MiniBatchKMeans,cluster,_kmeans,MiniBatchKMeans,
OPTICS,<class 'sklearn.cluster._optics.OPTICS'>,cluster,<class 'sklearn.cluster._optics.OPTICS'>,sklearn.cluster._optics.OPTICS,cluster,_optics,OPTICS,
SpectralClustering,<class 'sklearn.cluster._spectral.SpectralClustering'>,cluster,<class 'sklearn.cluster._spectral.SpectralClustering'>,sklearn.cluster._spectral.SpectralClustering,cluster,_spectral,SpectralClustering,
AdditiveChi2Sampler,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>,transformer,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>,sklearn.kernel_approximation.AdditiveChi2Sampler,kernel_approximation,AdditiveChi2Sampler,,
BernoulliRBM,<class 'sklearn.neural_network._rbm.BernoulliRBM'>,transformer,<class 'sklearn.neural_network._rbm.BernoulliRBM'>,sklearn.neural_network._rbm.BernoulliRBM,neural_network,_rbm,BernoulliRBM,
Binarizer,<class 'sklearn.preprocessing._data.Binarizer'>,transformer,<class 'sklearn.preprocessing._data.Binarizer'>,sklearn.preprocessing._data.Binarizer,preprocessing,_data,Binarizer,
ColumnTransformer,<class 'sklearn.compose._column_transformer.ColumnTransformer'>,transformer,<class 'sklearn.compose._column_transformer.ColumnTransformer'>,sklearn.compose._column_transformer.ColumnTransformer,compose,_column_transformer,ColumnTransformer,
DictVectorizer,<class 'sklearn.feature_extraction._dict_vectorizer.DictVectorizer'>,transformer,<class 'sklearn.feature_extraction._dict_vectorizer.DictVectorizer'>,sklearn.feature_extraction._dict_vectorizer.DictVectorizer,feature_extraction,_dict_vectorizer,DictVectorizer,
DictionaryLearning,<class 'sklearn.decomposition._dict_learning.DictionaryLearning'>,transformer,<class 'sklearn.decomposition._dict_learning.DictionaryLearning'>,sklearn.decomposition._dict_learning.DictionaryLearning,decomposition,_dict_learning,DictionaryLearning,
FactorAnalysis,<class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>,transformer,<class 'sklearn.decomposition._factor_analysis.FactorAnalysis'>,sklearn.decomposition._factor_analysis.FactorAnalysis,decomposition,_factor_analysis,FactorAnalysis,
FastICA,<class 'sklearn.decomposition._fastica.FastICA'>,transformer,<class 'sklearn.decomposition._fastica.FastICA'>,sklearn.decomposition._fastica.FastICA,decomposition,_fastica,FastICA,
FeatureHasher,<class 'sklearn.feature_extraction._hash.FeatureHasher'>,transformer,<class 'sklearn.feature_extraction._hash.FeatureHasher'>,sklearn.feature_extraction._hash.FeatureHasher,feature_extraction,_hash,FeatureHasher,
FeatureUnion,<class 'sklearn.pipeline.FeatureUnion'>,transformer,<class 'sklearn.pipeline.FeatureUnion'>,sklearn.pipeline.FeatureUnion,pipeline,FeatureUnion,,
FunctionTransformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,transformer,<class 'sklearn.preprocessing._function_transformer.FunctionTransformer'>,sklearn.preprocessing._function_transformer.FunctionTransformer,preprocessing,_function_transformer,FunctionTransformer,
GaussianRandomProjection,<class 'sklearn.random_projection.GaussianRandomProjection'>,transformer,<class 'sklearn.random_projection.GaussianRandomProjection'>,sklearn.random_projection.GaussianRandomProjection,random_projection,GaussianRandomProjection,,
GenericUnivariateSelect,<class 'sklearn.feature_selection._univariate_selection.GenericUnivariateSelect'>,transformer,<class 'sklearn.feature_selection._univariate_selection.GenericUnivariateSelect'>,sklearn.feature_selection._univariate_selection.GenericUnivariateSelect,feature_selection,_univariate_selection,GenericUnivariateSelect,
HashingVectorizer,<class 'sklearn.feature_extraction.text.HashingVectorizer'>,transformer,<class 'sklearn.feature_extraction.text.HashingVectorizer'>,sklearn.feature_extraction.text.HashingVectorizer,feature_extraction,text,HashingVectorizer,
IncrementalPCA,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,transformer,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,sklearn.decomposition._incremental_pca.IncrementalPCA,decomposition,_incremental_pca,IncrementalPCA,
Isomap,<class 'sklearn.manifold._isomap.Isomap'>,transformer,<class 'sklearn.manifold._isomap.Isomap'>,sklearn.manifold._isomap.Isomap,manifold,_isomap,Isomap,
KBinsDiscretizer,<class 'sklearn.preprocessing._discretization.KBinsDiscretizer'>,transformer,<class 'sklearn.preprocessing._discretization.KBinsDiscretizer'>,sklearn.preprocessing._discretization.KBinsDiscretizer,preprocessing,_discretization,KBinsDiscretizer,
KNNImputer,<class 'sklearn.impute._knn.KNNImputer'>,transformer,<class 'sklearn.impute._knn.KNNImputer'>,sklearn.impute._knn.KNNImputer,impute,_knn,KNNImputer,
KNeighborsTransformer,<class 'sklearn.neighbors._graph.KNeighborsTransformer'>,transformer,<class 'sklearn.neighbors._graph.KNeighborsTransformer'>,sklearn.neighbors._graph.KNeighborsTransformer,neighbors,_graph,KNeighborsTransformer,
KernelCenterer,<class 'sklearn.preprocessing._data.KernelCenterer'>,transformer,<class 'sklearn.preprocessing._data.KernelCenterer'>,sklearn.preprocessing._data.KernelCenterer,preprocessing,_data,KernelCenterer,
KernelPCA,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,transformer,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,sklearn.decomposition._kernel_pca.KernelPCA,decomposition,_kernel_pca,KernelPCA,
LabelBinarizer,<class 'sklearn.preprocessing._label.LabelBinarizer'>,transformer,<class 'sklearn.preprocessing._label.LabelBinarizer'>,sklearn.preprocessing._label.LabelBinarizer,preprocessing,_label,LabelBinarizer,
LabelEncoder,<class 'sklearn.preprocessing._label.LabelEncoder'>,transformer,<class 'sklearn.preprocessing._label.LabelEncoder'>,sklearn.preprocessing._label.LabelEncoder,preprocessing,_label,LabelEncoder,
LatentDirichletAllocation,<class 'sklearn.decomposition._lda.LatentDirichletAllocation'>,transformer,<class 'sklearn.decomposition._lda.LatentDirichletAllocation'>,sklearn.decomposition._lda.LatentDirichletAllocation,decomposition,_lda,LatentDirichletAllocation,
LocallyLinearEmbedding,<class 'sklearn.manifold._locally_linear.LocallyLinearEmbedding'>,transformer,<class 'sklearn.manifold._locally_linear.LocallyLinearEmbedding'>,sklearn.manifold._locally_linear.LocallyLinearEmbedding,manifold,_locally_linear,LocallyLinearEmbedding,
MaxAbsScaler,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,transformer,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,sklearn.preprocessing._data.MaxAbsScaler,preprocessing,_data,MaxAbsScaler,
MinMaxScaler,<class 'sklearn.preprocessing._data.MinMaxScaler'>,transformer,<class 'sklearn.preprocessing._data.MinMaxScaler'>,sklearn.preprocessing._data.MinMaxScaler,preprocessing,_data,MinMaxScaler,
MiniBatchDictionaryLearning,<class 'sklearn.decomposition._dict_learning.MiniBatchDictionaryLearning'>,transformer,<class 'sklearn.decomposition._dict_learning.MiniBatchDictionaryLearning'>,sklearn.decomposition._dict_learning.MiniBatchDictionaryLearning,decomposition,_dict_learning,MiniBatchDictionaryLearning,
MiniBatchNMF,<class 'sklearn.decomposition._nmf.MiniBatchNMF'>,transformer,<class 'sklearn.decomposition._nmf.MiniBatchNMF'>,sklearn.decomposition._nmf.MiniBatchNMF,decomposition,_nmf,MiniBatchNMF,
MiniBatchSparsePCA,<class 'sklearn.decomposition._sparse_pca.MiniBatchSparsePCA'>,transformer,<class 'sklearn.decomposition._sparse_pca.MiniBatchSparsePCA'>,sklearn.decomposition._sparse_pca.MiniBatchSparsePCA,decomposition,_sparse_pca,MiniBatchSparsePCA,
MissingIndicator,<class 'sklearn.impute._base.MissingIndicator'>,transformer,<class 'sklearn.impute._base.MissingIndicator'>,sklearn.impute._base.MissingIndicator,impute,_base,MissingIndicator,
MultiLabelBinarizer,<class 'sklearn.preprocessing._label.MultiLabelBinarizer'>,transformer,<class 'sklearn.preprocessing._label.MultiLabelBinarizer'>,sklearn.preprocessing._label.MultiLabelBinarizer,preprocessing,_label,MultiLabelBinarizer,
NMF,<class 'sklearn.decomposition._nmf.NMF'>,transformer,<class 'sklearn.decomposition._nmf.NMF'>,sklearn.decomposition._nmf.NMF,decomposition,_nmf,NMF,
NeighborhoodComponentsAnalysis,<class 'sklearn.neighbors._nca.NeighborhoodComponentsAnalysis'>,transformer,<class 'sklearn.neighbors._nca.NeighborhoodComponentsAnalysis'>,sklearn.neighbors._nca.NeighborhoodComponentsAnalysis,neighbors,_nca,NeighborhoodComponentsAnalysis,
Normalizer,<class 'sklearn.preprocessing._data.Normalizer'>,transformer,<class 'sklearn.preprocessing._data.Normalizer'>,sklearn.preprocessing._data.Normalizer,preprocessing,_data,Normalizer,
Nystroem,<class 'sklearn.kernel_approximation.Nystroem'>,transformer,<class 'sklearn.kernel_approximation.Nystroem'>,sklearn.kernel_approximation.Nystroem,kernel_approximation,Nystroem,,
OneHotEncoder,<class 'sklearn.preprocessing._encoders.OneHotEncoder'>,transformer,<class 'sklearn.preprocessing._encoders.OneHotEncoder'>,sklearn.preprocessing._encoders.OneHotEncoder,preprocessing,_encoders,OneHotEncoder,
OrdinalEncoder,<class 'sklearn.preprocessing._encoders.OrdinalEncoder'>,transformer,<class 'sklearn.preprocessing._encoders.OrdinalEncoder'>,sklearn.preprocessing._encoders.OrdinalEncoder,preprocessing,_encoders,OrdinalEncoder,
PCA,<class 'sklearn.decomposition._pca.PCA'>,transformer,<class 'sklearn.decomposition._pca.PCA'>,sklearn.decomposition._pca.PCA,decomposition,_pca,PCA,
PLSSVD,<class 'sklearn.cross_decomposition._pls.PLSSVD'>,transformer,<class 'sklearn.cross_decomposition._pls.PLSSVD'>,sklearn.cross_decomposition._pls.PLSSVD,cross_decomposition,_pls,PLSSVD,
PatchExtractor,<class 'sklearn.feature_extraction.image.PatchExtractor'>,transformer,<class 'sklearn.feature_extraction.image.PatchExtractor'>,sklearn.feature_extraction.image.PatchExtractor,feature_extraction,image,PatchExtractor,
PolynomialCountSketch,<class 'sklearn.kernel_approximation.PolynomialCountSketch'>,transformer,<class 'sklearn.kernel_approximation.PolynomialCountSketch'>,sklearn.kernel_approximation.PolynomialCountSketch,kernel_approximation,PolynomialCountSketch,,
PolynomialFeatures,<class 'sklearn.preprocessing._polynomial.PolynomialFeatures'>,transformer,<class 'sklearn.preprocessing._polynomial.PolynomialFeatures'>,sklearn.preprocessing._polynomial.PolynomialFeatures,preprocessing,_polynomial,PolynomialFeatures,
PowerTransformer,<class 'sklearn.preprocessing._data.PowerTransformer'>,transformer,<class 'sklearn.preprocessing._data.PowerTransformer'>,sklearn.preprocessing._data.PowerTransformer,preprocessing,_data,PowerTransformer,
QuantileTransformer,<class 'sklearn.preprocessing._data.QuantileTransformer'>,transformer,<class 'sklearn.preprocessing._data.QuantileTransformer'>,sklearn.preprocessing._data.QuantileTransformer,preprocessing,_data,QuantileTransformer,
RBFSampler,<class 'sklearn.kernel_approximation.RBFSampler'>,transformer,<class 'sklearn.kernel_approximation.RBFSampler'>,sklearn.kernel_approximation.RBFSampler,kernel_approximation,RBFSampler,,
RFE,<class 'sklearn.feature_selection._rfe.RFE'>,transformer,<class 'sklearn.feature_selection._rfe.RFE'>,sklearn.feature_selection._rfe.RFE,feature_selection,_rfe,RFE,
RFECV,<class 'sklearn.feature_selection._rfe.RFECV'>,transformer,<class 'sklearn.feature_selection._rfe.RFECV'>,sklearn.feature_selection._rfe.RFECV,feature_selection,_rfe,RFECV,
RadiusNeighborsTransformer,<class 'sklearn.neighbors._graph.RadiusNeighborsTransformer'>,transformer,<class 'sklearn.neighbors._graph.RadiusNeighborsTransformer'>,sklearn.neighbors._graph.RadiusNeighborsTransformer,neighbors,_graph,RadiusNeighborsTransformer,
RandomTreesEmbedding,<class 'sklearn.ensemble._forest.RandomTreesEmbedding'>,transformer,<class 'sklearn.ensemble._forest.RandomTreesEmbedding'>,sklearn.ensemble._forest.RandomTreesEmbedding,ensemble,_forest,RandomTreesEmbedding,
RobustScaler,<class 'sklearn.preprocessing._data.RobustScaler'>,transformer,<class 'sklearn.preprocessing._data.RobustScaler'>,sklearn.preprocessing._data.RobustScaler,preprocessing,_data,RobustScaler,
