Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5
GraphicalLassoCV,<class 'sklearn.covariance._graph_lasso.GraphicalLassoCV'>,All,<class 'sklearn.covariance._graph_lasso.GraphicalLassoCV'>,sklearn.covariance._graph_lasso.GraphicalLassoCV,covariance,_graph_lasso,GraphicalLassoCV,
GridSearchCV,<class 'sklearn.model_selection._search.GridSearchCV'>,All,<class 'sklearn.model_selection._search.GridSearchCV'>,sklearn.model_selection._search.GridSearchCV,model_selection,_search,GridSearchCV,
IsolationForest,<class 'sklearn.ensemble._iforest.IsolationForest'>,All,<class 'sklearn.ensemble._iforest.IsolationForest'>,sklearn.ensemble._iforest.IsolationForest,ensemble,_iforest,IsolationForest,
KernelDensity,<class 'sklearn.neighbors._kde.KernelDensity'>,All,<class 'sklearn.neighbors._kde.KernelDensity'>,sklearn.neighbors._kde.KernelDensity,neighbors,_kde,KernelDensity,
LedoitWolf,<class 'sklearn.covariance._shrunk_covariance.LedoitWolf'>,All,<class 'sklearn.covariance._shrunk_covariance.LedoitWolf'>,sklearn.covariance._shrunk_covariance.LedoitWolf,covariance,_shrunk_covariance,LedoitWolf,
LocalOutlierFactor,<class 'sklearn.neighbors._lof.LocalOutlierFactor'>,All,<class 'sklearn.neighbors._lof.LocalOutlierFactor'>,sklearn.neighbors._lof.LocalOutlierFactor,neighbors,_lof,LocalOutlierFactor,
MDS,<class 'sklearn.manifold._mds.MDS'>,All,<class 'sklearn.manifold._mds.MDS'>,sklearn.manifold._mds.MDS,manifold,_mds,MDS,
MinCovDet,<class 'sklearn.covariance._robust_covariance.MinCovDet'>,All,<class 'sklearn.covariance._robust_covariance.MinCovDet'>,sklearn.covariance._robust_covariance.MinCovDet,covariance,_robust_covariance,MinCovDet,
NearestNeighbors,<class 'sklearn.neighbors._unsupervised.NearestNeighbors'>,All,<class 'sklearn.neighbors._unsupervised.NearestNeighbors'>,sklearn.neighbors._unsupervised.NearestNeighbors,neighbors,_unsupervised,NearestNeighbors,
OAS,<class 'sklearn.covariance._shrunk_covariance.OAS'>,All,<class 'sklearn.covariance._shrunk_covariance.OAS'>,sklearn.covariance._shrunk_covariance.OAS,covariance,_shrunk_covariance,OAS,
OneClassSVM,<class 'sklearn.svm._classes.OneClassSVM'>,All,<class 'sklearn.svm._classes.OneClassSVM'>,sklearn.svm._classes.OneClassSVM,svm,_classes,OneClassSVM,
Pipeline,<class 'sklearn.pipeline.Pipeline'>,All,<class 'sklearn.pipeline.Pipeline'>,sklearn.pipeline.Pipeline,pipeline,Pipeline,,
RandomizedSearchCV,<class 'sklearn.model_selection._search.RandomizedSearchCV'>,All,<class 'sklearn.model_selection._search.RandomizedSearchCV'>,sklearn.model_selection._search.RandomizedSearchCV,model_selection,_search,RandomizedSearchCV,
SGDOneClassSVM,<class 'sklearn.linear_model._stochastic_gradient.SGDOneClassSVM'>,All,<class 'sklearn.linear_model._stochastic_gradient.SGDOneClassSVM'>,sklearn.linear_model._stochastic_gradient.SGDOneClassSVM,linear_model,_stochastic_gradient,SGDOneClassSVM,
ShrunkCovariance,<class 'sklearn.covariance._shrunk_covariance.ShrunkCovariance'>,All,<class 'sklearn.covariance._shrunk_covariance.ShrunkCovariance'>,sklearn.covariance._shrunk_covariance.ShrunkCovariance,covariance,_shrunk_covariance,ShrunkCovariance,
SpectralBiclustering,<class 'sklearn.cluster._bicluster.SpectralBiclustering'>,All,<class 'sklearn.cluster._bicluster.SpectralBiclustering'>,sklearn.cluster._bicluster.SpectralBiclustering,cluster,_bicluster,SpectralBiclustering,
SpectralCoclustering,<class 'sklearn.cluster._bicluster.SpectralCoclustering'>,All,<class 'sklearn.cluster._bicluster.SpectralCoclustering'>,sklearn.cluster._bicluster.SpectralCoclustering,cluster,_bicluster,SpectralCoclustering,
SpectralEmbedding,<class 'sklearn.manifold._spectral_embedding.SpectralEmbedding'>,All,<class 'sklearn.manifold._spectral_embedding.SpectralEmbedding'>,sklearn.manifold._spectral_embedding.SpectralEmbedding,manifold,_spectral_embedding,SpectralEmbedding,
TfidfVectorizer,<class 'sklearn.feature_extraction.text.TfidfVectorizer'>,All,<class 'sklearn.feature_extraction.text.TfidfVectorizer'>,sklearn.feature_extraction.text.TfidfVectorizer,feature_extraction,text,TfidfVectorizer,
